state,empirical_prob,analytical_prob
0,0.36,0.33333333333333337
1,0.238,0.22222222222222224
2,0.132,0.14814814814814817
3,0.098,0.09876543209876541
4,0.066,0.06584362139917695
5,0.05,0.04389574759945129
6,0.02,0.029263831732967528
7,0.012,0.019509221155311684
8,0.012,0.013006147436874454
9,0.008,0.008670764957916305
10,0.0,0.005780509971944203
11,0.002,0.0038536733146294676
12,0.0,0.002569115543086312
13,0.002,0.0017127436953908745
14,0.0,0.001141829130260583
15,0.0,0.0007612194201737219
16,0.0,0.0005074796134491478
17,0.0,0.00033831974229943195
18,0.0,0.00022554649486628792
19,0.0,0.0001503643299108586
20,0.0,0.00010024288660723906
21,0.0,6.682859107149271e-05
22,0.0,4.4552394047661806e-05
23,0.0,2.9701596031774533e-05
24,0.0,1.980106402118302e-05
25,0.0,1.3200709347455346e-05
26,0.0,8.800472898303563e-06
27,0.0,5.866981932202375e-06
28,0.0,3.911321288134917e-06
29,0.0,2.607547525423278e-06
30,0.0,1.7383650169488517e-06
31,0.0,1.1589100112992345e-06
32,0.0,7.726066741994896e-07
33,0.0,5.150711161329931e-07
34,0.0,3.43380744088662e-07
35,0.0,2.2892049605910798e-07
36,0.0,1.5261366403940531e-07
37,0.0,1.0174244269293688e-07
38,0.0,6.782829512862458e-08
39,0.0,4.5218863419083046e-08
40,0.0,3.014590894605536e-08
